suserID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
90642923@N00,7435,26,1672531200,1672531220,1,6,1
90642923@N00,7435,20,1672531200,1672531220,2,6,1
90642923@N00,7435,7,1672531200,1672531220,3,6,1
90642923@N00,7435,6,1672531200,1672531220,4,6,1
90642923@N00,7435,1,1672531200,1672531220,5,6,1
90642923@N00,7435,17,1672531200,1672531220,6,6,1
10259875@N03,141,26,1672531200,1672531220,7,6,1
10259875@N03,141,19,1672531200,1672531220,8,6,1
10259875@N03,141,27,1672531200,1672531220,9,6,1
10259875@N03,141,1,1672531200,1672531220,10,6,1
10259875@N03,141,16,1672531200,1672531220,11,6,1
10259875@N03,141,17,1672531200,1672531220,12,6,1
38789043@N02,3526,26,1672531200,1672531220,13,8,1
38789043@N02,3526,3,1672531200,1672531220,14,8,1
38789043@N02,3526,6,1672531200,1672531220,15,8,1
38789043@N02,3526,20,1672531200,1672531220,16,8,1
38789043@N02,3526,18,1672531200,1672531220,17,8,1
38789043@N02,3526,19,1672531200,1672531220,18,8,1
38789043@N02,3526,21,1672531200,1672531220,19,8,1
38789043@N02,3526,17,1672531200,1672531220,20,8,1
64478148@N07,5774,26,1672531200,1672531220,21,3,1
64478148@N07,5774,27,1672531200,1672531220,22,3,1
64478148@N07,5774,17,1672531200,1672531220,23,3,1
38102706@N05,3445,5,1672531200,1672531220,24,6,1
38102706@N05,3445,17,1672531200,1672531220,25,6,1
38102706@N05,3445,26,1672531200,1672531220,26,6,1
38102706@N05,3445,18,1672531200,1672531220,27,6,1
38102706@N05,3445,2,1672531200,1672531220,28,6,1
38102706@N05,3445,27,1672531200,1672531220,29,6,1
38102706@N05,3419,5,1672531200,1672531220,30,14,1
38102706@N05,3419,2,1672531200,1672531220,31,14,1
38102706@N05,3419,1,1672531200,1672531220,32,14,1
38102706@N05,3419,6,1672531200,1672531220,33,14,1
38102706@N05,3419,9,1672531200,1672531220,34,14,1
38102706@N05,3419,14,1672531200,1672531220,35,14,1
38102706@N05,3419,17,1672531200,1672531220,36,14,1
38102706@N05,3419,18,1672531200,1672531220,37,14,1
38102706@N05,3419,23,1672531200,1672531220,38,14,1
38102706@N05,3419,21,1672531200,1672531220,39,14,1
38102706@N05,3419,26,1672531200,1672531220,40,14,1
38102706@N05,3419,7,1672531200,1672531220,41,14,1
38102706@N05,3419,8,1672531200,1672531220,42,14,1
38102706@N05,3419,27,1672531200,1672531220,43,14,1
39156069@N03,3563,15,1672531200,1672531220,44,5,1
39156069@N03,3563,9,1672531200,1672531220,45,5,1
39156069@N03,3563,6,1672531200,1672531220,46,5,1
39156069@N03,3563,7,1672531200,1672531220,47,5,1
39156069@N03,3563,8,1672531200,1672531220,48,5,1
47189760@N05,4509,1,1672531200,1672531220,49,5,1
47189760@N05,4509,27,1672531200,1672531220,50,5,1
47189760@N05,4509,10,1672531200,1672531220,51,5,1
47189760@N05,4509,9,1672531200,1672531220,52,5,1
47189760@N05,4509,8,1672531200,1672531220,53,5,1
8803306@N02,7264,1,1672531200,1672531220,54,9,1
8803306@N02,7264,27,1672531200,1672531220,55,9,1
8803306@N02,7264,23,1672531200,1672531220,56,9,1
8803306@N02,7264,19,1672531200,1672531220,57,9,1
8803306@N02,7264,26,1672531200,1672531220,58,9,1
8803306@N02,7264,15,1672531200,1672531220,59,9,1
8803306@N02,7264,14,1672531200,1672531220,60,9,1
8803306@N02,7264,16,1672531200,1672531220,61,9,1
8803306@N02,7264,8,1672531200,1672531220,62,9,1
130127205@N04,654,1,1672531200,1672531220,63,5,1
130127205@N04,654,22,1672531200,1672531220,64,5,1
130127205@N04,654,20,1672531200,1672531220,65,5,1
130127205@N04,654,27,1672531200,1672531220,66,5,1
130127205@N04,654,8,1672531200,1672531220,67,5,1
44124427374@N01,4153,6,1672531200,1672531220,68,3,1
44124427374@N01,4153,18,1672531200,1672531220,69,3,1
44124427374@N01,4153,2,1672531200,1672531220,70,3,1
78732663@N03,6657,6,1672531200,1672531220,71,9,1
78732663@N03,6657,9,1672531200,1672531220,72,9,1
78732663@N03,6657,11,1672531200,1672531220,73,9,1
78732663@N03,6657,1,1672531200,1672531220,74,9,1
78732663@N03,6657,4,1672531200,1672531220,75,9,1
78732663@N03,6657,20,1672531200,1672531220,76,9,1
78732663@N03,6657,27,1672531200,1672531220,77,9,1
78732663@N03,6657,24,1672531200,1672531220,78,9,1
78732663@N03,6657,2,1672531200,1672531220,79,9,1
127278883@N08,578,6,1672531200,1672531220,80,5,1
127278883@N08,578,9,1672531200,1672531220,81,5,1
127278883@N08,578,27,1672531200,1672531220,82,5,1
127278883@N08,578,4,1672531200,1672531220,83,5,1
127278883@N08,578,2,1672531200,1672531220,84,5,1
35853462@N00,3171,3,1672531200,1672531220,85,5,1
35853462@N00,3171,19,1672531200,1672531220,86,5,1
35853462@N00,3171,2,1672531200,1672531220,87,5,1
35853462@N00,3171,1,1672531200,1672531220,88,5,1
35853462@N00,3171,13,1672531200,1672531220,89,5,1
38102706@N05,3479,3,1672531200,1672531220,90,3,1
38102706@N05,3479,2,1672531200,1672531220,91,3,1
38102706@N05,3479,13,1672531200,1672531220,92,3,1
7472274@N05,6313,3,1672531200,1672531220,93,5,1
7472274@N05,6313,2,1672531200,1672531220,94,5,1
7472274@N05,6313,6,1672531200,1672531220,95,5,1
7472274@N05,6313,11,1672531200,1672531220,96,5,1
7472274@N05,6313,20,1672531200,1672531220,97,5,1
23322134@N02,1595,3,1672531200,1672531220,98,6,1
23322134@N02,1595,1,1672531200,1672531220,99,6,1
23322134@N02,1595,9,1672531200,1672531220,100,6,1
23322134@N02,1595,13,1672531200,1672531220,101,6,1
23322134@N02,1595,21,1672531200,1672531220,102,6,1
23322134@N02,1595,20,1672531200,1672531220,103,6,1
54250081@N05,5088,25,1672531200,1672531220,104,12,1
54250081@N05,5088,21,1672531200,1672531220,105,12,1
54250081@N05,5088,23,1672531200,1672531220,106,12,1
54250081@N05,5088,24,1672531200,1672531220,107,12,1
54250081@N05,5088,20,1672531200,1672531220,108,12,1
54250081@N05,5088,18,1672531200,1672531220,109,12,1
54250081@N05,5088,19,1672531200,1672531220,110,12,1
54250081@N05,5088,16,1672531200,1672531220,111,12,1
54250081@N05,5088,17,1672531200,1672531220,112,12,1
54250081@N05,5088,14,1672531200,1672531220,113,12,1
54250081@N05,5088,9,1672531200,1672531220,114,12,1
54250081@N05,5088,10,1672531200,1672531220,115,12,1
89388234@N00,7332,25,1672531200,1672531220,116,3,1
89388234@N00,7332,6,1672531200,1672531220,117,3,1
89388234@N00,7332,10,1672531200,1672531220,118,3,1
7451382@N03,6308,21,1672531200,1672531220,119,3,1
7451382@N03,6308,7,1672531200,1672531220,120,3,1
7451382@N03,6308,8,1672531200,1672531220,121,3,1
28977782@N00,2453,21,1672531200,1672531220,122,5,1
28977782@N00,2453,25,1672531200,1672531220,123,5,1
28977782@N00,2453,24,1672531200,1672531220,124,5,1
28977782@N00,2453,13,1672531200,1672531220,125,5,1
28977782@N00,2453,8,1672531200,1672531220,126,5,1
47125846@N08,4456,17,1672531200,1672531220,127,5,1
47125846@N08,4456,20,1672531200,1672531220,128,5,1
47125846@N08,4456,21,1672531200,1672531220,129,5,1
47125846@N08,4456,19,1672531200,1672531220,130,5,1
47125846@N08,4456,15,1672531200,1672531220,131,5,1
64440833@N05,5726,17,1672531200,1672531220,132,6,1
64440833@N05,5726,13,1672531200,1672531220,133,6,1
64440833@N05,5726,18,1672531200,1672531220,134,6,1
64440833@N05,5726,22,1672531200,1672531220,135,6,1
64440833@N05,5726,20,1672531200,1672531220,136,6,1
64440833@N05,5726,15,1672531200,1672531220,137,6,1
23322134@N02,1592,17,1672531200,1672531220,138,5,1
23322134@N02,1592,18,1672531200,1672531220,139,5,1
23322134@N02,1592,26,1672531200,1672531220,140,5,1
23322134@N02,1592,1,1672531200,1672531220,141,5,1
23322134@N02,1592,15,1672531200,1672531220,142,5,1
33494202@N04,2918,2,1672531200,1672531220,143,3,1
33494202@N04,2918,3,1672531200,1672531220,144,3,1
33494202@N04,2918,12,1672531200,1672531220,145,3,1
24897645@N04,1855,22,1672531200,1672531220,146,4,1
24897645@N04,1855,16,1672531200,1672531220,147,4,1
24897645@N04,1855,14,1672531200,1672531220,148,4,1
24897645@N04,1855,21,1672531200,1672531220,149,4,1
54845704@N05,5117,22,1672531200,1672531220,150,7,1
54845704@N05,5117,23,1672531200,1672531220,151,7,1
54845704@N05,5117,20,1672531200,1672531220,152,7,1
54845704@N05,5117,26,1672531200,1672531220,153,7,1
54845704@N05,5117,17,1672531200,1672531220,154,7,1
54845704@N05,5117,27,1672531200,1672531220,155,7,1
54845704@N05,5117,21,1672531200,1672531220,156,7,1
85855667@N00,7124,22,1672531200,1672531220,157,5,1
85855667@N00,7124,17,1672531200,1672531220,158,5,1
85855667@N00,7124,13,1672531200,1672531220,159,5,1
85855667@N00,7124,26,1672531200,1672531220,160,5,1
85855667@N00,7124,21,1672531200,1672531220,161,5,1
11752574@N06,410,22,1672531200,1672531220,162,7,1
11752574@N06,410,19,1672531200,1672531220,163,7,1
11752574@N06,410,1,1672531200,1672531220,164,7,1
11752574@N06,410,14,1672531200,1672531220,165,7,1
11752574@N06,410,9,1672531200,1672531220,166,7,1
11752574@N06,410,15,1672531200,1672531220,167,7,1
11752574@N06,410,21,1672531200,1672531220,168,7,1
90728477@N00,7443,1,1672531200,1672531220,169,12,1
90728477@N00,7443,9,1672531200,1672531220,170,12,1
90728477@N00,7443,17,1672531200,1672531220,171,12,1
90728477@N00,7443,18,1672531200,1672531220,172,12,1
90728477@N00,7443,23,1672531200,1672531220,173,12,1
90728477@N00,7443,4,1672531200,1672531220,174,12,1
90728477@N00,7443,27,1672531200,1672531220,175,12,1
90728477@N00,7443,10,1672531200,1672531220,176,12,1
90728477@N00,7443,7,1672531200,1672531220,177,12,1
90728477@N00,7443,8,1672531200,1672531220,178,12,1
90728477@N00,7443,14,1672531200,1672531220,179,12,1
90728477@N00,7443,21,1672531200,1672531220,180,12,1
46453719@N00,4408,1,1672531200,1672531220,181,6,1
46453719@N00,4408,20,1672531200,1672531220,182,6,1
46453719@N00,4408,2,1672531200,1672531220,183,6,1
46453719@N00,4408,11,1672531200,1672531220,184,6,1
46453719@N00,4408,15,1672531200,1672531220,185,6,1
46453719@N00,4408,21,1672531200,1672531220,186,6,1
27429042@N08,2225,1,1672531200,1672531220,187,3,1
