userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
93629101@N05,3651,3,1672531200,1672531220,1,13,1
93629101@N05,3651,4,1672531200,1672531220,2,13,1
93629101@N05,3651,1,1672531200,1672531220,3,13,1
93629101@N05,3651,5,1672531200,1672531220,4,13,1
93629101@N05,3651,10,1672531200,1672531220,5,13,1
93629101@N05,3651,8,1672531200,1672531220,6,13,1
93629101@N05,3651,2,1672531200,1672531220,7,13,1
93629101@N05,3651,13,1672531200,1672531220,8,13,1
93629101@N05,3651,1672531200,1672531220,6,9,13,1
93629101@N05,3651,12,1672531200,1672531220,10,13,1
93629101@N05,3651,7,1672531200,1672531220,11,13,1
93629101@N05,3651,9,1672531200,1672531220,12,13,1
93629101@N05,3651,11,1672531200,1672531220,13,13,1
96062950@N02,3703,13,1672531200,1672531220,14,5,1
96062950@N02,3703,2,1672531200,1672531220,15,5,1
96062950@N02,3703,8,1672531200,1672531220,16,5,1
96062950@N02,3703,1672531200,1672531220,6,17,5,1
96062950@N02,3703,5,1672531200,1672531220,18,5,1
45716980@N00,2026,13,1672531200,1672531220,19,9,1
45716980@N00,2026,8,1672531200,1672531220,20,9,1
45716980@N00,2026,2,1672531200,1672531220,21,9,1
45716980@N00,2026,1672531200,1672531220,6,22,9,1
45716980@N00,2026,4,1672531200,1672531220,23,9,1
45716980@N00,2026,1,1672531200,1672531220,24,9,1
45716980@N00,2026,7,1672531200,1672531220,25,9,1
45716980@N00,2026,12,1672531200,1672531220,26,9,1
45716980@N00,2026,5,1672531200,1672531220,27,9,1
67299437@N06,2782,13,1672531200,1672531220,28,4,1
67299437@N06,2782,12,1672531200,1672531220,29,4,1
67299437@N06,2782,3,1672531200,1672531220,30,4,1
67299437@N06,2782,5,1672531200,1672531220,31,4,1
12197785@N03,253,13,1672531200,1672531220,32,3,1
12197785@N03,253,1,1672531200,1672531220,33,3,1
12197785@N03,253,5,1672531200,1672531220,34,3,1
29225947@N00,1179,13,1672531200,1672531220,35,5,1
29225947@N00,1179,4,1672531200,1672531220,36,5,1
29225947@N00,1179,1672531200,1672531220,6,37,5,1
29225947@N00,1179,10,1672531200,1672531220,38,5,1
29225947@N00,1179,5,1672531200,1672531220,39,5,1
49502978053@N01,2196,13,1672531200,1672531220,40,8,1
49502978053@N01,2196,1,1672531200,1672531220,41,8,1
49502978053@N01,2196,8,1672531200,1672531220,42,8,1
49502978053@N01,2196,2,1672531200,1672531220,43,8,1
49502978053@N01,2196,1672531200,1672531220,6,44,8,1
49502978053@N01,2196,10,1672531200,1672531220,45,8,1
49502978053@N01,2196,4,1672531200,1672531220,46,8,1
49502978053@N01,2196,5,1672531200,1672531220,47,8,1
76730958@N07,3031,13,1672531200,1672531220,48,4,1
76730958@N07,3031,4,1672531200,1672531220,49,4,1
76730958@N07,3031,1,1672531200,1672531220,50,4,1
76730958@N07,3031,5,1672531200,1672531220,51,4,1
77395664@N00,3041,13,1672531200,1672531220,52,7,1
77395664@N00,3041,4,1672531200,1672531220,53,7,1
77395664@N00,3041,1672531200,1672531220,6,54,7,1
77395664@N00,3041,2,1672531200,1672531220,55,7,1
77395664@N00,3041,1,1672531200,1672531220,56,7,1
77395664@N00,3041,8,1672531200,1672531220,57,7,1
77395664@N00,3041,5,1672531200,1672531220,58,7,1
78364960@N04,3105,13,1672531200,1672531220,59,5,1
78364960@N04,3105,4,1672531200,1672531220,60,5,1
78364960@N04,3105,1,1672531200,1672531220,61,5,1
78364960@N04,3105,7,1672531200,1672531220,62,5,1
78364960@N04,3105,5,1672531200,1672531220,63,5,1
86482004@N00,3403,13,1672531200,1672531220,64,5,1
86482004@N00,3403,4,1672531200,1672531220,65,5,1
86482004@N00,3403,8,1672531200,1672531220,66,5,1
86482004@N00,3403,12,1672531200,1672531220,67,5,1
86482004@N00,3403,5,1672531200,1672531220,68,5,1
10259875@N03,54,13,1672531200,1672531220,69,8,1
10259875@N03,54,1672531200,1672531220,6,70,8,1
10259875@N03,54,2,1672531200,1672531220,71,8,1
10259875@N03,54,11,1672531200,1672531220,72,8,1
10259875@N03,54,8,1672531200,1672531220,73,8,1
10259875@N03,54,1,1672531200,1672531220,74,8,1
10259875@N03,54,10,1672531200,1672531220,75,8,1
10259875@N03,54,5,1672531200,1672531220,76,8,1
79761301@N00,3170,13,1672531200,1672531220,77,6,1
79761301@N00,3170,1,1672531200,1672531220,78,6,1
79761301@N00,3170,8,1672531200,1672531220,79,6,1
79761301@N00,3170,1672531200,1672531220,6,80,6,1
79761301@N00,3170,11,1672531200,1672531220,81,6,1
79761301@N00,3170,5,1672531200,1672531220,82,6,1
45749280@N00,2030,13,1672531200,1672531220,83,4,1
45749280@N00,2030,1672531200,1672531220,6,84,4,1
45749280@N00,2030,4,1672531200,1672531220,85,4,1
45749280@N00,2030,3,1672531200,1672531220,86,4,1
49014295@N06,2177,13,1672531200,1672531220,87,4,1
49014295@N06,2177,9,1672531200,1672531220,88,4,1
49014295@N06,2177,8,1672531200,1672531220,89,4,1
49014295@N06,2177,3,1672531200,1672531220,90,4,1
96678288@N02,3787,2,1672531200,1672531220,91,3,1
96678288@N02,3787,4,1672531200,1672531220,92,3,1
96678288@N02,3787,10,1672531200,1672531220,93,3,1
13644648@N03,370,2,1672531200,1672531220,94,3,1
13644648@N03,370,8,1672531200,1672531220,95,3,1
13644648@N03,370,10,1672531200,1672531220,96,3,1
47861479@N02,2134,2,1672531200,1672531220,97,3,1
47861479@N02,2134,8,1672531200,1672531220,98,3,1
47861479@N02,2134,10,1672531200,1672531220,99,3,1
42580834@N08,1801,2,1672531200,1672531220,100,5,1
42580834@N08,1801,4,1672531200,1672531220,101,5,1
42580834@N08,1801,13,1672531200,1672531220,102,5,1
42580834@N08,1801,1,1672531200,1672531220,103,5,1
42580834@N08,1801,10,1672531200,1672531220,104,5,1
7349370@N04,2921,1672531200,1672531220,6,105,7,1
7349370@N04,2921,1,1672531200,1672531220,106,7,1
7349370@N04,2921,5,1672531200,1672531220,107,7,1
7349370@N04,2921,10,1672531200,1672531220,108,7,1
7349370@N04,2921,8,1672531200,1672531220,109,7,1
7349370@N04,2921,2,1672531200,1672531220,110,7,1
7349370@N04,2921,7,1672531200,1672531220,111,7,1
24850040@N07,908,1672531200,1672531220,6,112,4,1
24850040@N07,908,8,1672531200,1672531220,113,4,1
24850040@N07,908,11,1672531200,1672531220,114,4,1
24850040@N07,908,7,1672531200,1672531220,115,4,1
62486370@N00,2612,3,1672531200,1672531220,116,3,1
62486370@N00,2612,1,1672531200,1672531220,117,3,1
62486370@N00,2612,10,1672531200,1672531220,118,3,1
15268966@N00,495,10,1672531200,1672531220,119,6,1
15268966@N00,495,5,1672531200,1672531220,120,6,1
15268966@N00,495,12,1672531200,1672531220,121,6,1
15268966@N00,495,8,1672531200,1672531220,122,6,1
15268966@N00,495,1,1672531200,1672531220,123,6,1
15268966@N00,495,2,1672531200,1672531220,124,6,1
24435279@N00,880,10,1672531200,1672531220,125,3,1
24435279@N00,880,8,1672531200,1672531220,126,3,1
24435279@N00,880,2,1672531200,1672531220,127,3,1
86562986@N00,3405,10,1672531200,1672531220,128,3,1
86562986@N00,3405,8,1672531200,1672531220,129,3,1
86562986@N00,3405,2,1672531200,1672531220,130,3,1
49934509@N00,2237,10,1672531200,1672531220,131,3,1
49934509@N00,2237,1672531200,1672531220,6,132,3,1
49934509@N00,2237,2,1672531200,1672531220,133,3,1
63257911@N00,2648,10,1672531200,1672531220,134,3,1
63257911@N00,2648,4,1672531200,1672531220,135,3,1
63257911@N00,2648,2,1672531200,1672531220,136,3,1
8068835@N04,3215,10,1672531200,1672531220,137,5,1
8068835@N04,3215,1,1672531200,1672531220,138,5,1
8068835@N04,3215,5,1672531200,1672531220,139,5,1
8068835@N04,3215,9,1672531200,1672531220,140,5,1
8068835@N04,3215,2,1672531200,1672531220,141,5,1
8803306@N02,3450,10,1672531200,1672531220,142,6,1
8803306@N02,3450,8,1672531200,1672531220,143,6,1
8803306@N02,3450,4,1672531200,1672531220,144,6,1
8803306@N02,3450,12,1672531200,1672531220,145,6,1
8803306@N02,3450,1672531200,1672531220,6,146,6,1
8803306@N02,3450,2,1672531200,1672531220,147,6,1
21739162@N04,666,10,1672531200,1672531220,148,10,1
21739162@N04,666,1,1672531200,1672531220,149,10,1
21739162@N04,666,4,1672531200,1672531220,150,10,1
21739162@N04,666,9,1672531200,1672531220,151,10,1
21739162@N04,666,5,1672531200,1672531220,152,10,1
21739162@N04,666,8,1672531200,1672531220,153,10,1
21739162@N04,666,12,1672531200,1672531220,154,10,1
21739162@N04,666,13,1672531200,1672531220,155,10,1
21739162@N04,666,1672531200,1672531220,6,156,10,1
21739162@N04,666,2,1672531200,1672531220,157,10,1
111603867@N06,139,10,1672531200,1672531220,158,6,1
111603867@N06,139,9,1672531200,1672531220,159,6,1
111603867@N06,139,1,1672531200,1672531220,160,6,1
111603867@N06,139,5,1672531200,1672531220,161,6,1
111603867@N06,139,8,1672531200,1672531220,162,6,1
111603867@N06,139,2,1672531200,1672531220,163,6,1
23322134@N02,800,10,1672531200,1672531220,164,5,1
23322134@N02,800,4,1672531200,1672531220,165,5,1
23322134@N02,800,8,1672531200,1672531220,166,5,1
23322134@N02,800,5,1672531200,1672531220,167,5,1
