userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
72547598@N00,8754,12,1672531200,1672531220,1,15,1
72547598@N00,8754,30,1672531200,1672531220,2,15,1
72547598@N00,8754,31,1672531200,1672531220,3,15,1
72547598@N00,8754,18,1672531200,1672531220,4,15,1
72547598@N00,8754,23,1672531200,1672531220,5,15,1
72547598@N00,8754,14,1672531200,1672531220,6,15,1
72547598@N00,8754,16,1672531200,1672531220,7,15,1
72547598@N00,8754,27,1672531200,1672531220,8,15,1
72547598@N00,8754,17,1672531200,1672531220,9,15,1
72547598@N00,8754,28,1672531200,1672531220,10,15,1
72547598@N00,8754,29,1672531200,1672531220,11,15,1
72547598@N00,8754,20,1672531200,1672531220,12,15,1
72547598@N00,8754,26,1672531200,1672531220,13,15,1
72547598@N00,8754,3,1672531200,1672531220,14,15,1
72547598@N00,8754,21,1672531200,1672531220,15,15,1
26874770@N06,3293,5,1672531200,1672531220,16,4,1
26874770@N06,3293,24,1672531200,1672531220,17,4,1
26874770@N06,3293,20,1672531200,1672531220,18,4,1
26874770@N06,3293,17,1672531200,1672531220,19,4,1
38964012@N06,5163,17,1672531200,1672531220,20,9,1
38964012@N06,5163,15,1672531200,1672531220,21,9,1
38964012@N06,5163,21,1672531200,1672531220,22,9,1
38964012@N06,5163,25,1672531200,1672531220,23,9,1
38964012@N06,5163,13,1672531200,1672531220,24,9,1
38964012@N06,5163,7,1672531200,1672531220,25,9,1
38964012@N06,5163,29,1672531200,1672531220,26,9,1
38964012@N06,5163,26,1672531200,1672531220,27,9,1
38964012@N06,5163,27,1672531200,1672531220,28,9,1
72269863@N00,8738,17,1672531200,1672531220,29,3,1
72269863@N00,8738,29,1672531200,1672531220,30,3,1
72269863@N00,8738,27,1672531200,1672531220,31,3,1
73802184@N00,8933,17,1672531200,1672531220,32,4,1
73802184@N00,8933,28,1672531200,1672531220,33,4,1
73802184@N00,8933,15,1672531200,1672531220,34,4,1
73802184@N00,8933,27,1672531200,1672531220,35,4,1
97527209@N00,11442,17,1672531200,1672531220,36,3,1
97527209@N00,11442,21,1672531200,1672531220,37,3,1
97527209@N00,11442,27,1672531200,1672531220,38,3,1
22729779@N04,2302,17,1672531200,1672531220,39,12,1
22729779@N04,2302,25,1672531200,1672531220,40,12,1
22729779@N04,2302,21,1672531200,1672531220,41,12,1
22729779@N04,2302,24,1672531200,1672531220,42,12,1
22729779@N04,2302,15,1672531200,1672531220,43,12,1
22729779@N04,2302,22,1672531200,1672531220,44,12,1
22729779@N04,2302,13,1672531200,1672531220,45,12,1
22729779@N04,2302,7,1672531200,1672531220,46,12,1
22729779@N04,2302,26,1672531200,1672531220,47,12,1
22729779@N04,2302,1,1672531200,1672531220,48,12,1
22729779@N04,2302,28,1672531200,1672531220,49,12,1
22729779@N04,2302,27,1672531200,1672531220,50,12,1
40708728@N04,5424,13,1672531200,1672531220,51,5,1
40708728@N04,5424,22,1672531200,1672531220,52,5,1
40708728@N04,5424,4,1672531200,1672531220,53,5,1
40708728@N04,5424,19,1672531200,1672531220,54,5,1
40708728@N04,5424,1672531200,1672531220,6,55,5,1
59646076@N00,7464,13,1672531200,1672531220,56,3,1
59646076@N00,7464,28,1672531200,1672531220,57,3,1
59646076@N00,7464,1672531200,1672531220,6,58,3,1
21897757@N00,2046,15,1672531200,1672531220,59,15,1
21897757@N00,2046,27,1672531200,1672531220,60,15,1
21897757@N00,2046,16,1672531200,1672531220,61,15,1
21897757@N00,2046,1672531200,1672531220,6,62,15,1
21897757@N00,2046,1,1672531200,1672531220,63,15,1
21897757@N00,2046,28,1672531200,1672531220,64,15,1
21897757@N00,2046,26,1672531200,1672531220,65,15,1
21897757@N00,2046,29,1672531200,1672531220,66,15,1
21897757@N00,2046,20,1672531200,1672531220,67,15,1
21897757@N00,2046,22,1672531200,1672531220,68,15,1
21897757@N00,2046,10,1672531200,1672531220,69,15,1
21897757@N00,2046,7,1672531200,1672531220,70,15,1
21897757@N00,2046,3,1672531200,1672531220,71,15,1
21897757@N00,2046,13,1672531200,1672531220,72,15,1
21897757@N00,2046,4,1672531200,1672531220,73,15,1
63631877@N00,8010,10,1672531200,1672531220,74,3,1
63631877@N00,8010,20,1672531200,1672531220,75,3,1
63631877@N00,8010,1,1672531200,1672531220,76,3,1
71079304@N04,8663,10,1672531200,1672531220,77,5,1
71079304@N04,8663,16,1672531200,1672531220,78,5,1
71079304@N04,8663,26,1672531200,1672531220,79,5,1
71079304@N04,8663,18,1672531200,1672531220,80,5,1
71079304@N04,8663,1,1672531200,1672531220,81,5,1
8101809@N08,9677,10,1672531200,1672531220,82,4,1
8101809@N08,9677,13,1672531200,1672531220,83,4,1
8101809@N08,9677,21,1672531200,1672531220,84,4,1
8101809@N08,9677,1,1672531200,1672531220,85,4,1
38067879@N08,4904,1672531200,1672531220,6,86,3,1
38067879@N08,4904,5,1672531200,1672531220,87,3,1
38067879@N08,4904,28,1672531200,1672531220,88,3,1
49165041@N00,6412,1672531200,1672531220,6,89,3,1
49165041@N00,6412,29,1672531200,1672531220,90,3,1
49165041@N00,6412,28,1672531200,1672531220,91,3,1
10167516@N04,66,21,1672531200,1672531220,92,3,1
10167516@N04,66,26,1672531200,1672531220,93,3,1
10167516@N04,66,28,1672531200,1672531220,94,3,1
115291928@N03,529,21,1672531200,1672531220,95,5,1
115291928@N03,529,13,1672531200,1672531220,96,5,1
115291928@N03,529,1672531200,1672531220,6,97,5,1
115291928@N03,529,1,1672531200,1672531220,98,5,1
115291928@N03,529,28,1672531200,1672531220,99,5,1
11949829@N04,666,21,1672531200,1672531220,100,3,1
11949829@N04,666,11,1672531200,1672531220,101,3,1
11949829@N04,666,28,1672531200,1672531220,102,3,1
22309110@N03,2262,21,1672531200,1672531220,103,3,1
22309110@N03,2262,1,1672531200,1672531220,104,3,1
22309110@N03,2262,28,1672531200,1672531220,105,3,1
38235069@N00,4960,21,1672531200,1672531220,106,4,1
38235069@N00,4960,24,1672531200,1672531220,107,4,1
38235069@N00,4960,8,1672531200,1672531220,108,4,1
38235069@N00,4960,28,1672531200,1672531220,109,4,1
13312992@N06,1123,13,1672531200,1672531220,110,13,1
13312992@N06,1123,18,1672531200,1672531220,111,13,1
13312992@N06,1123,29,1672531200,1672531220,112,13,1
